,file,sent_id,sent_start,sent_end,sentence,nonoseaeaeonlyasinstruction,nonoseaegeneralterm,notaecandidatepreexistingconditionorriskfactor,notaecandidateindication,nonoseaemanifestationorcomplication,nonoseaeaefromdruginteraction,nonoseaeaeratelteqplacebo,nonoseaenegation,nonoseaeaeanimal,nonoseaeodorwithdrawal,nonoseaeaefromofflabel,notaecandidatecontraindication,nonoseaeaeforanotherdruginclass,notaecandidateother,nonoseaeother
15,carboplatin,15,273,277,mm3          82                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,carboplatin,16,277,279,21               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,carboplatin,17,279,305,"\n', '   oselabeledaefromdruguse            < 4,000 cells/mm3          97                   85               \n', '                        < 2,000 cells/",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,carboplatin,18,305,311,mm3          71                   26               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,carboplatin,19,311,318,"\n', '   oselabeledaefromdruguse                ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,carboplatin,20,318,324,< 11 g/dL                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,carboplatin,21,324,326,90                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,carboplatin,22,326,328,90               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,carboplatin,23,328,338,"\n', '                        < 8g/dL                    ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,carboplatin,24,338,340,14                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,carboplatin,25,340,342,21               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,carboplatin,26,342,353,"\n', '   oselabeledaefromdruguse                                       16                   5                ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,carboplatin,27,353,364,"\n', '   oselabeledaefromdruguse                                         8                    5                ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,carboplatin,28,364,392,"\n', '   oselabeledaefromdruguse                                     35                   44               \n', '   nonoseaegeneralterm                                                      \n', '   oselabeledaefromdruguse and  oselabeledaefromdruguse    ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,carboplatin,29,392,394,93                         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,carboplatin,30,394,396,92                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,carboplatin,31,396,418,"\n', '   oselabeledaefromdruguse              83                         81                   \n', '  Other  oselabeledaefromdruguse    46                         ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,carboplatin,32,418,434,"21                   \n', '   nonoseaegeneralterm                                                            \n', '   oselabeledaefromdruguse    ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,carboplatin,33,434,458,"15                         6                    \n', '   oselabeledaefromdruguse           12                         1                    \n', '  Other  oselabeledaefromdruguse    ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,carboplatin,34,458,462,5                          1                    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,carboplatin,35,462,471,"\n', '   oselabeledaefromdruguse    26                         ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,carboplatin,36,471,473,5                    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,carboplatin,37,473,480,"\n', '   nonoseaegeneralterm                                                                 ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,carboplatin,38,480,487,"\n', '   oselabeledaefromdruguse    ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,carboplatin,39,487,500,"6                          10                   \n', '   oselabeledaefromdruguse    17                         ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,carboplatin,40,500,502,22                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,carboplatin,41,502,509,"\n', '   nonoseaegeneralterm                                                               ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,carboplatin,42,509,516,"\n', '   oselabeledaefromdruguse    ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,carboplatin,43,516,520,5                          5                    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,carboplatin,44,520,538,"\n', '   oselabeledaefromdruguse       20                         19                   \n', '   oselabeledaefromdruguse    ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,carboplatin,45,538,542,29                         37                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,carboplatin,46,542,558,"\n', '   nonoseaegeneralterm  oselabeledaefromdruguse  oselabeledaefromdruguse                                                     \n', '  ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,carboplatin,47,558,562,Sodium                10                         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,carboplatin,48,562,564,47                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,carboplatin,49,564,578,"\n', '   oselabeledaefromdruguse  oselabeledaefromdruguse                                                     \n', '  ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,carboplatin,50,578,582,Sodium                10                         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,carboplatin,51,582,584,47                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,carboplatin,52,584,593,"\n', '  Potassium             16                         ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,carboplatin,53,593,595,28                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,carboplatin,54,595,609,"\n', '   oselabeledaefromdruguse  oselabeledaefromdruguse                                                     \n', '  ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,carboplatin,55,609,613,Sodium                10                         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,carboplatin,56,613,615,47                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,carboplatin,57,615,624,"\n', '  Potassium             16                         ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,carboplatin,58,624,626,28                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,carboplatin,59,626,635,"\n', '  Calcium               16                         ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,carboplatin,60,635,637,31                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,carboplatin,61,637,646,"\n', '   oselabeledaefromdruguse             61                         ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,carboplatin,62,646,648,43                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,carboplatin,63,648,657,"\n', '   nonoseaegeneralterm  oselabeledaefromdruguse                                                    ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
64,carboplatin,64,657,666,"\n', '  Pain                  44                         ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,carboplatin,65,666,668,23                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,carboplatin,66,668,675,"\n', '  Asthenia              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,carboplatin,67,675,677,41                         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,carboplatin,68,677,679,11                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,carboplatin,69,679,688,"\n', '   oselabeledaefromdruguse  oselabeledaefromdruguse                                                    ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,carboplatin,70,688,697,"\n', '  Pain                  44                         ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,carboplatin,71,697,699,23                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,carboplatin,72,699,706,"\n', '  Asthenia              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,carboplatin,73,706,708,41                         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,carboplatin,74,708,710,11                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,carboplatin,75,710,715,"\n', '  ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,carboplatin,76,715,721,Cardiovascular        19                         6                    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,carboplatin,77,721,739,"\n', '   oselabeledaefromdruguse  oselabeledaefromdruguse                                                    \n', '  Pain                  44                         ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,carboplatin,78,739,741,23                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,carboplatin,79,741,748,"\n', '  Asthenia              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,carboplatin,80,748,750,41                         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,carboplatin,81,750,752,11                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,carboplatin,82,752,757,"\n', '  ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,carboplatin,83,757,763,Cardiovascular        19                         6                    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,carboplatin,84,763,779,"\n', '  Respiratory           10                         6                    \n', '  ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,carboplatin,85,779,796,"Allergic              11                         2                    \n', '   oselabeledaefromdruguse  oselabeledaefromdruguse                  44                         ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,carboplatin,86,796,798,23                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,carboplatin,87,798,807,"\n', '   oselabeledaefromdruguse              41                         ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,carboplatin,88,807,809,11                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,carboplatin,89,809,814,"\n', '  ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,carboplatin,90,814,820,Cardiovascular        19                         6                    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,carboplatin,91,820,831,"\n', '  Respiratory           10                         6                    ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,carboplatin,92,831,858,"\n', '   oselabeledaefromdruguse              11                         2                    \n', '  Genitourinary         10                         2                    \n', '   ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,carboplatin,93,858,880,"oselabeledaefromdruguse              49                         2                    \n', '   oselabeledaefromdruguse             8                          1                    \n', '          ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,carboplatin,94,880,940,"In the narrative section that follows, the incidences of adverse events are based on data from 1,893 patients with various types of tumors who received carboplatin as single agent therapy.\n', ' \n', '\n', '    oselabeledaefromdruguse \n', '   oselabeledaefromdruguse is the dose-limiting toxicity of carboplatin.  ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,carboplatin,95,940,1008,oselabeledaefromdruguse with  oselabeledaefromdruguse  occurs in 25% of the patients (35% of pretreated  notaecandidateindication patients);  oselabeledaefromdruguse with  oselabeledaefromdruguse  occurs in 16% of the patients (21% of pretreated  notaecandidateindication patients);  oselabeledaefromdruguse with  oselabeledaefromdruguse  occurs in 15% of the patients (26% of pretreated  notaecandidateindication patients).,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
96,carboplatin,96,1008,1022,The nadir usually occurs about day 21 in patients receiving single agent therapy.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,carboplatin,97,1022,1139,"By day 28, 90% of patients have  nonoseaeaeonlyasinstruction  ; 74% have  nonoseaeaeonlyasinstruction  ; 67% have  nonoseaeaeonlyasinstruction  .\n', '\n', '  nonoseaeaeonlyasinstruction is usually more severe in patients with  notaecandidatepreexistingconditionorriskfactor  Patients with poor performance status have also experienced a higher incidence of severe  nonoseaeaeonlyasinstruction and  nonoseaeaeonlyasinstruction \n', '\n', ' The  oselabeledaefromdruguse  although usually reversible, have resulted in  oselabeledaefromdruguse or hemorrhagic  oselabeledaefromdruguse  oselabeledaefromdruguse in 5% of the patients treated with carboplatin, with drug related  nonoseaegeneralterm occurring in less than 1% of the patients.  ",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
98,carboplatin,98,1139,1140,oselabeledaefromdruguse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,carboplatin,99,1140,1172,"\n', '\n', '  oselabeledaefromdruguse with  oselabeledaefromdruguse has been observed in 71% of the patients who started therapy with a baseline above that value.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,carboplatin,100,1172,1184,The incidence of  oselabeledaefromdruguse increases with increasing exposure to carboplatin.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,carboplatin,101,1184,1276,"Transfusions have been administered to 26% of the patients treated with carboplatin (44% of previously treated  notaecandidateindication patients).\n', '\n', '  oselabeledaefromdruguse may be more severe when carboplatin is combined with other  nonoseaeaeonlyasinstruction drugs or with radiotherapy.\n', '\n', '    oselabeledaefromdruguse \n', '   oselabeledaefromdruguse occurs in 65% of the patients (81% of previously treated  notaecandidateindication patients) and in about one-third of these patients it is severe.",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
102,carboplatin,102,1276,1329,"Carboplatin, as a single agent or in combination, is significantly less  oselabeledaefromdruguse than cisplatin; however, patients previously treated with  nonoseaeaeonlyasinstruction  especially cisplatin, appear to be more prone to  nonoseaeaeonlyasinstruction   oselabeledaefromdruguse alone occurs in an additional 10% to 15% of patients.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,carboplatin,103,1329,1350,Both  oselabeledaefromdruguse and  oselabeledaefromdruguse usually cease within 24 hours of treatment and are often responsive to antiemetic measures.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,carboplatin,104,1350,1398,"Although no conclusive efficacy data exist with the following schedules, prolonged administration of carboplatin, either by continuous 24-hour infusion or by daily pulse doses given for 5 consecutive days, was associated with less severe  oselabeledaefromdruguse than the single-dose intermittent schedule.  ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,carboplatin,105,1398,1412,nonoseaeaefromdruginteraction was increased when carboplatin was used in combination with other emetogenic compounds.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
106,carboplatin,106,1412,1420,Other  oselabeledaefromdruguse effects observed frequently were  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,carboplatin,107,1420,1492,"oselabeledaefromdruguse  oselabeledaefromdruguse observed frequently were pain, in 17% of the patients;  oselabeledaefromdruguse  in 6%; and  oselabeledaefromdruguse  also in 6%.\n', '\n', '    oselabeledaefromdruguse \n', '   oselabeledaefromdruguse have been observed in 4% of the patients receiving carboplatin (6% of pretreated  notaecandidatepreexistingconditionorriskfactor patients) with mild  oselabeledaefromdruguse occurring most frequently.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
108,carboplatin,108,1492,1508,Carboplatin therapy produces significantly fewer and less severe  oselabeledaefromdruguse than does therapy with cisplatin.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,carboplatin,109,1508,1534,"However, patients older than 65 years and/or previously treated with cisplatin appear to have an increased risk (10%) for  oselabeledaefromdruguse  ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,carboplatin,110,1534,1561,In 70% of the patients with pre-existing cisplatin-induced  notaecandidatepreexistingconditionorriskfactor  there was no worsening of symptoms during therapy with carboplatin.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
111,carboplatin,111,1561,1587,Clinical  oselabeledaefromdruguse and other  oselabeledaefromdruguse such as  oselabeledaefromdruguse and  oselabeledaefromdruguse have been reported in only 1% of the patients.  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,carboplatin,112,1587,1691,"oselabeledaefromdruguse have been reported in 5% of the patients and appear to be most often related to the use of antiemetics.\n', '\n', ' Although the overall incidence of  oselabeledaefromdruguse induced by carboplatin is low, prolonged treatment, particularly in cisplatin pretreated patients, may result in cumulative  oselabeledaefromdruguse \n', '\n', '    oselabeledaefromdruguse \n', '  Development of  oselabeledaefromdruguse results is uncommon, despite the fact that carboplatin, unlike cisplatin, has usually been administered without high-volume fluid hydration and/or forced  nonoseaeaeonlyasinstruction  ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,carboplatin,113,1691,1742,"The incidences of  oselabeledaefromdruguse  oselabeledaefromdruguse renal function tests reported are 6% for  oselabeledaefromdruguse  oselabeledaefromdruguse renal function tests reported are 6% for serum creatinine and 14% for  oselabeledaefromdruguse (10% and 22%, respectively, in pretreated  notaecandidatepreexistingconditionorriskfactor patients).",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
114,carboplatin,114,1742,1882,"Most of these reported abnormalities have been mild and about one-half of them were reversible.\n', '\n', ' Creatinine clearance has proven to be the most sensitive measure of kidney function in patients receiving carboplatin, and it appears to be the most useful test for correlating drug clearance and  nonoseaeaeonlyasinstruction  Twenty-seven percent of the patients who had a baseline value of 60 mL/min or more demonstrated a reduction below this value during carboplatin therapy.\n', '\n', '    oselabeledaefromdruguse \n', '  The incidences of  oselabeledaefromdruguse  oselabeledaefromdruguse liver function tests in patients with normal baseline values were reported as follows:  oselabeledaefromdruguse  oselabeledaefromdruguse liver function tests in patients with normal baseline values were reported as follows:",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,carboplatin,115,1882,1889,"total bilirubin, 5%;  ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,carboplatin,116,1889,1906,oselabeledaefromdruguse  oselabeledaefromdruguse liver function tests in patients with normal baseline values were reported as follows:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,carboplatin,117,1906,1944,"total bilirubin, 5%; SGOT, 15%; and  oselabeledaefromdruguse  24%; (5%, 19%, and 37%, respectively, in pretreated  notaecandidateindication patients).",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
118,carboplatin,118,1944,1975,"These abnormalities have generally been mild and reversible in about one-half of the cases, although the role of  notaecandidatepreexistingconditionorriskfactor may complicate the assessment in many patients.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
119,carboplatin,119,1975,2068,"In a limited series of patients receiving very high dosages of carboplatin and  notaecandidatepreexistingconditionorriskfactor  severe  oselabeledaefromdruguse were reported.\n', '\n', '    oselabeledaefromdruguse \n', '  The incidences of abnormally  oselabeledaefromdruguse  oselabeledaefromdruguse serum electrolyte values reported were as follows:  oselabeledaefromdruguse  oselabeledaefromdruguse serum electrolyte values reported were as follows: sodium, 29%;  oselabeledaefromdruguse  oselabeledaefromdruguse serum electrolyte values reported were as follows: sodium, 29%; potassium, 20%;  oselabeledaefromdruguse  ",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
120,carboplatin,120,2068,2122,"oselabeledaefromdruguse serum electrolyte values reported were as follows: sodium, 29%; potassium, 20%; calcium, 22%; and  oselabeledaefromdruguse  29%; (47%, 28%, 31%, and 43%, respectively, in pretreated  notaecandidatepreexistingconditionorriskfactor patients).",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
121,carboplatin,121,2122,2172,"Electrolyte supplementation was not routinely administered concomitantly with carboplatin, and these  oselabeledaefromdruguse were rarely associated with symptoms.\n', '\n', '   Allergic Reactions\n', '\n', '   oselabeledaefromdruguse to carboplatin has been reported in 2% of the patients.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,carboplatin,122,2172,2227,"These  oselabeledaefromdruguse have been similar in nature and severity to those reported with other platinum-containing compounds, i.e.,  oselabeledaefromdruguse   oselabeledaefromdruguse   oselabeledaefromdruguse   oselabeledaefromdruguse  and rarely  oselabeledaefromdruguse and  oselabeledaefromdruguse   oselabeledaefromdruguse have been reported as part of postmarketing surveillance (see      WARNINGS      ).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,carboplatin,123,2227,2299,"These reactions have been successfully managed with standard epinephrine, corticosteroid, and antihistamine therapy.\n', '\n', '   Injection Site Reactions\n', '\n', '   oselabeledaefromdruguse  oselabeledaefromdruguse reactions, including  oselabeledaefromdruguse  oselabeledaefromdruguse reactions, including redness,  oselabeledaefromdruguse  oselabeledaefromdruguse reactions, including redness, swelling, and  oselabeledaefromdruguse  have been reported during postmarketing surveillance.  ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,carboplatin,124,2299,2349,"oselabeledaefromdruguse has also been reported.\n', '\n', '   Other Events\n', '\n', '   oselabeledaefromdruguse and  oselabeledaefromdruguse were the most frequently reported miscellaneous adverse effects; their relationship to the  nonoseaeaeonlyasinstruction and to  nonoseaeaeonlyasinstruction was likely.  ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,carboplatin,125,2349,2358,oselabeledaefromdruguse was reported (3%).  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,carboplatin,126,2358,2398,"oselabeledaefromdruguse  respiratory, genitourinary, and mucosal  oselabeledaefromdruguse  oselabeledaefromdruguse  genitourinary, and mucosal  oselabeledaefromdruguse  oselabeledaefromdruguse  and mucosal  oselabeledaefromdruguse  oselabeledaefromdruguse have occurred in 6% or less of the patients.  ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,carboplatin,127,2398,2428,oselabeledaefromdruguse ( oselabeledaefromdruguse   oselabeledaefromdruguse   oselabeledaefromdruguse  were  nonoseaegeneralterm in less than 1% of the patients and did not appear to be related to chemotherapy.  ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
128,carboplatin,128,2428,2456,"notaecandidatepreexistingconditionorriskfactor associated  notaecandidatepreexistingconditionorriskfactor has been reported rarely.\n', '\n', '  oselabeledaefromdruguse   oselabeledaefromdruguse   oselabeledaefromdruguse   oselabeledaefromdruguse  and  oselabeledaefromdruguse \n",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
129,carboplatin,129,2456,2467,"', '\n', '    BOXED WARNING:",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,carboplatin,130,2467,2510,"WARNING\n', '\n', '  WARNING\n', '\n', '  Carboplatin injection 10 mg/mL should be administered under the supervision of a qualified physician experienced in the use of cancer chemotherapeutic agents.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,carboplatin,131,2510,2527,Appropriate management of therapy and complications is possible only when adequate treatment facilities are readily available.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,carboplatin,132,2527,2549,"\n', '\n', '  oselabeledaefromdruguse is dose related and may be severe, resulting in  nonoseaemanifestationorcomplication",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
133,carboplatin,133,2549,2564,and/or  nonoseaemanifestationorcomplication   oselabeledaefromdruguse may be cumulative and may require transfusion support.  ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
134,carboplatin,134,2564,2629,"oselabeledaefromdruguse is another frequent drug related side effect.\n', '\n', '  oselabeledaefromdruguse    PRECAUTIONS\n', '\n', '   General\n', '\n', '   Needles or intravenous administration sets containing aluminum parts that may come in contact with carboplatin injection should not be used for the preparation or administration of the drug.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,carboplatin,135,2629,2643,Aluminum can react with carboplatin causing precipitate formation and loss of potency.  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,carboplatin,136,2643,2658,"\n', '\n', '    Drug Interactions\n', '\n",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,carboplatin,137,2658,2676,"', '  The renal effects of  nonoseaeaeonlyasinstruction compounds may be potentiated by carboplatin.\n',",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,carboplatin,138,2676,2725,"'\n', '    Carcinogenesis, Mutagenesis, Impairment of Fertility\n', '\n', '  The carcinogenic potential of carboplatin has not been studied, but compounds with similar mechanisms of action and mutagenicity profiles have been reported to be  nonoseaeaeforanotherdruginclass  ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
139,carboplatin,139,2725,2742,Carboplatin has been shown to be  oselabeledaefromdruguse both in vitro  and in vivo  .,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,carboplatin,140,2742,2763,It has also been shown to be  nonoseaeaeanimal and  nonoseaeaeanimal in rats receiving the drug during organogenesis.  ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
141,carboplatin,141,2763,2795,"nonoseaeaefromdruginteraction have been reported in association with multi-drug therapy.\n', '\n', '    Pregnancy\n', '\n', '    Pregnancy Category D  ",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
142,carboplatin,142,2795,2839,"\n', '\n', '  See   WARNINGS    .\n', '\n', '    Nursing Mothers\n', '\n', '  It is not known whether carboplatin is excreted in human milk.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
