subject,report_id,report_date,report_type,id,source,report_text
NCT00820053,ct_inc_531032,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531032,AACT,"
 Inclusion Criteria: 1. Male or female patients > 18 years and <=70 years of age. 2. Patients with HCC who received curative liver resection (R0). 3. Criteria of liver function: Child A-B level, serum bilirubin  1.5 times the upper limit of normal value,alanine aminotransferase and aspartate aminotransferase  2 times the upper limit of normal value. 4. No dysfunction in major organs; Blood routine, kidney function, cardiac function and lung function are basically normal. Hb 90g/L,WBC 3.000 cells/mm,platelets 80.000 cells/mm . 5. Karnofsky Performance Score performance over 60 . 6. Patients who can understand this trial and have signed information consent
 "
NCT00818844,ct_inc_531123,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531123,AACT,"
 Inclusion Criteria:
 -  18 year of age or older, of any race and either sex.
 -  Able to understand and sign an informed consent that has been approved by an
 Institutional Review Board.
 -  Must agree to comply with study visit schedule and other study requirements.
 -  Must have vision loss associated with idiopathic epiretinal membrane and secondary retinal edema.
 -  Must have pre-operative central foveal thickness greater than 300 microns.
 -  Prior cataract surgery must be at least 6 months postoperative.
 -  Other protocol-defined inclusion criteria may apply.
 "
NCT00818831,ct_inc_531124,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531124,AACT,"
 Inclusion Criteria:
 -  Subjects must be refractory to or intolerant of established therapy known to provide clinical benefit for their condition, i.e., patients must not be candidates for regimens known to provide clinical benefit.
 -  Patients must have measurable (as defined by Response Evaluation Criteria in Solid
 Tumors (RECIST) criteria) solid tumors.
 -  Prior chemotherapy and radiation therapy are allowed (at least 4 weeks must have passed from prior chemotherapy and radiotherapy (6 weeks for nitrosoureas or mitomycin
 C)), provided that clinically significant toxicity related to prior chemotherapy or radiotherapy has returned to baseline or National Cancer Institute (NCI) Common
 Toxicity and Adverse Events (CTCAE) grade  2 and are not expected to recover further.
 The toxicities specifically exclude alopecia.
 -  Age >18 years.
 -  ECOG performance status <2.
 -  Life expectancy of greater than 12 weeks, as estimated by Principal Investigator.
 -  Patients must have normal organ and marrow function as defined in the protocol.
 -  The effects of QBI-139 on the developing human fetus are unknown. Therefore, both men and women should not attempt to conceive and women should not be pregnant or breast-feeding while taking part in this study (or for 90 days after completing the study).
 -  Ability to understand and the willingness to sign a written informed consent document.
 "
NCT00818818,ct_inc_531125,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531125,AACT,"
 Inclusion Criteria:
 -  Age > 65 years
 -  Permanent residence in the endemic area
 -  Availability of a caregiver for dependent patients
 "
NCT00818805,ct_inc_531126,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531126,AACT,"
 Inclusion Criteria: 1. Age/Gender: males and females aged >20 to < 65 years (at the time of obtaining consent). 2. Positive cases in whom blood specific IgE antibody quantification against cedar pollen showed class 2-6 in a health checkup conducted within the past 3 years. 3. Cases who were diagnosed as patients with seasonal allergic conjunctivitis and were judged eligible as subjects of the said study by the investigator or co-investigator from the results of medical examination conducted on the day of the study or prior to it. 4. Cases who gave consent on study participation of their own free will in writing, with understanding the contents of the said study.
 "
NCT00818792,ct_inc_531127,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531127,AACT,"
 Inclusion Criteria:
 -  chronic renal insufficiency (creatinine clearance <60 ml/min, in dialysis patients included) with at least two significant (>70%) coronary lesions in two major coronary vessels.
 "
NCT00818779,ct_inc_531128,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531128,AACT,"
 Inclusion Criteria:
 -  Diagnosis of type 2 diabetes
 -  Diagnosis of coronary artery disease
 -  Currently receiving therapy with an ACE-Inhibitor or Angiotensin Receptor Blocker
 -  Currently receiving antiplatelet therapy and statin therapy
 -  Baseline blood pressure > 100/75 mm Hg
 -  BMI 25-35 kg/m2
 "
NCT00818766,ct_inc_531129,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531129,AACT,"
 Inclusion Criteria:
 -  Adults aged 18 years or older undergoing elective thoracic surgery at Brigham &
 Women's Hospital. The majority of these patients will be undergoing lung resection for either the evaluation of a lung mass, or for the removal of a known malignancy. Some participants may be undergoing biopsy or removal of a mediastinal mass.
 -  Undergoing thoracic surgery procedure expected to require tube thoracostomy.
 -  Ability to give informed consent
 "
NCT00818753,ct_inc_531130,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531130,AACT,"
 Inclusion criteria:
 -  patients between 18 and 85 years
 -  due to undergo elective PCI
 -  informed consent obtained
 "
NCT00818740,ct_inc_531131,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531131,AACT,"
 Inclusion criteria:
 -  Written informed consent (IC) obtained.
 -  Good general health ascertained by detailed medical history and physical examinations.
 -  Finnish speaking males between 18 and 45 years of age (inclusive).
 -  Body Mass Index (BMI) between 18-30 kg/m2 (inclusive, BMI = weight/height2).
 -  Weight of 55-100 kg (inclusive).
 "
NCT00818727,ct_inc_531132,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531132,AACT,"
 Inclusion Criteria:
 -  Term newborn infants to mothers treated with SSRI and healthy controls
 "
NCT00818714,ct_inc_531133,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531133,AACT,"
 Inclusion Criteria: 1. Histological confirmation of non-small cell lung cancer will be required by either biopsy or cytology. The following primary cancer types are eligible: squamous cell carcinoma, adenocarcinoma, large cell carcinoma, bronchioloalveolar cell carcinoma, or non-small cell carcinoma not otherwise specified. 2. Eligible patients must have appropriate staging studies identifying them as specific subsets of AJCC stage III based on only one of the following combinations of TNM staging:
 -  T1N2-3M0
 -  T2N2-3M0
 -  T3N1-3M0
 -  Patients with T4 tumors (by any definition) are not eligible 3. Patients must have completed treatment with concurrent chemotherapy and external beam radiation therapy to radiation doses >59.4Gy but <70.2Gy to the primary tumor and doses >45Gy but <70.2Gy to mediastinal structures within 6 to 9 weeks of the first
 SBRT Boost treatment. 4. Patients must have had repeat staging performed after their chemoradiation and within 28 days of their first protocol treatment including: CT scan of chest and upper abdomen, FDG-18 PET scan and MRI of the brain. These studies must demonstrate no disease outside of the thorax. 5. The primary tumor must be deemed technically resectable after chemoradiation by an experienced thoracic cancer clinician, with a reasonable possibility of obtaining a gross total resection with negative margins (defined as a potentially curative resection, PCR). However, the patient must not be a candidate for PCR based on pathologic evidence of persistent mediastinal lymphadenopathy after chemoradiation or because of underlying physiological medical problems that would prohibit a PCR due to a low probability of tolerating general anesthesia, the operation, the postoperative recovery period, or the removal of adjacent functioning lung. These types of patients with severe underlying health problems are deemed medically inoperable. Standard justification for deeming a patient medically inoperable based on pulmonary function for surgical resection of NSCLC may include any of the following: Baseline FEV1 < 40% predicted, post-operative predicted FEV1 < 30% predicted, severely reduced diffusion capacity, baseline hypoxemia and/or hypercapnia, exercise oxygen consumption < 50% predicted, severe pulmonary hypertension, diabetes mellitus with severe end organ damage, severe cerebral, cardiac, or peripheral vascular disease, or severe chronic heart disease. 6. Patients must be  18 years of age. 7. The patient's Zubrod performance status must be Zubrod 0-2. 8. Women of childbearing potential and male participants must use an effective contraceptive method such as condom/diaphragm and spermicidal foam, intrauterine device (IUD), or prescription birth control pills. 9. Pretreatment Evaluations Required for Eligibility include:
 -  A medical history, physical examination, weight, assessment of Zubrod performance status within 2 weeks prior to study entry.
 -  Evaluation by a thoracic surgeon or pulmonologist within 4 weeks prior to study entry;
 -  For women of childbearing potential, a serum or urine pregnancy test must be performed within 72 hours prior to the start of protocol treatment;
 -  PFTs: Routine spirometry, lung volumes, diffusion capacity, and arterial blood gases within 4 weeks prior to study entry.
 Mandatory staging studies: Must be done within 21 days prior to study entry
 -  CT scan (preferably with intravenous contrast) to include the entirety of both lungs, the mediastinum, liver, and adrenal glands; Primary tumor dimension will be measured on CT.
 -  Whole body positron emission tomography (PET) scan using FDG with adequate visualization of the primary tumor and draining lymph node basins in the hilar and mediastinal regions.
 -  MRI of the brain 10. Patients must sign a study-specific consent form. 11. Patients must not have any serious medical or psychiatric illnesses that would prevent compliance or ability to give informed consent. 12. Labs to be within 14 days of start of SBRT:
 CBC with differential, platelet count, Comprehensive metabolic panel including: electrolytes, Albumin, TBilirubin, Calcium, Cl, CO2, Creatinine, Glucose, K, TProtein, Na,
 BUN, AlkPhos, AST, ALT, Magnesium.
 Pre-treatment laboratory values must be as follows:
 WBC count: < or = 2.5 x institutional ULN; Absolute granulocyte count: > or = 1,500/mm3
 Platelets: > or = 100,000/mm3 Total bilirubin: < or = 1.5 x institutional ULN Serum creatinine: < or = 1.5x institutional ULN AST and ALT: < or = 2.5 x institutional ULN Serum albumin: > or = 3.0 g/dL
 "
NCT00818701,ct_inc_531134,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531134,AACT,"
 Inclusion Criteria:
 -  Left ventricular ejection fraction 35% assessed by echocardiography, nuclear scan or left ventriculogram within the past 2 years
 -  Stable (NYHA) class II and III symptoms as defined by: 1. no change in NYHA symptoms over the past 3 months; 2. on stable doses of ACE inhibitor and beta blocker for one month; 3. no episode of decompensated CHF over the past 3 months.
 -  Calculated creatinine clearance of equal or less than 60 ml/min and greater than 30 ml/min, using the Cockcroft-Gault formula assessed within the past 12 months
 "
NCT00816478,ct_inc_531304,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531304,AACT,"
 Inclusion Criteria:
 -  Primary FSGS
 -  Resistance to steroids and another immunosuppressive medication
 "
NCT00818675,ct_inc_531136,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531136,AACT,"
 Inclusion Criteria:
 -  Patient has histologically confirmed stage IIIB/IV non-small cell lung cancer
 -  Patient has a documented mutation of the KRAS gene
 -  Patient has evidence of disease progression following 1 but no more than 3 prior chemotherapy regimens
 -  A minimum of 4 weeks has passed since the most recent anti-cancer treatment
 -  Women of childbearing potential must have a negative pregnancy test prior to start of therapy and must use an approved contraceptive method for the duration of the study
 -  Patient has adequate organ function
 -  Patient has performance status of <=2 on Eastern Cooperative Oncology Group (ECOG) performance scale
 -  Patient is >=18 years of age
 "
NCT00818662,ct_inc_531137,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531137,AACT,"
 Main Inclusion Criteria:
 -  Written informed consent - participant (or participants legally acceptable representative) and caregiver who are willing and able to participate for the duration of the study
 -  Diagnosis of probable Alzheimers Disease (AD)
 -  Dementia of mild to moderate severity defined as mini-mental state examination (MMSE) 16-26 inclusive at the time of screening
 -  Neuroimaging (computed tomography [CT] or MRI) performed after symptom onset consistent with AD diagnosis
 -  Ability to comply with testing and infusion regimen, including fluency in English or
 Spanish, adequate corrected visual acuity and hearing ability
 -  On stable doses of regulatory authority approved AD medication(s) for at least 3 months prior to screening. These medications must be continued throughout this study.
 -  If receiving psychoactive medications (e.g. antidepressants other than monoamine oxidase inhibitors (MAOIs) and most tricyclics, antipsychotics, anxiolytics, anticonvulsants, mood stabilizers, etc), must be on stable doses for at least 6 weeks prior to screening
 Main "
NCT00818649,ct_inc_531138,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531138,AACT,"
 Inclusion Criteria:
 Disease Specific Criteria: Pathologic Diagnosis must be confirmed by University of
 Minnesota Hematopathology
 -  Myelodysplastic Syndrome (MDS): By IPSS Category: INT-2 or High risk, By WHO
 Classification: RAEB-1 or RAEB-2,By cytogenetics: High Risk Cytogenetic Abnormality
 Present as defined by the presence Monosomy 7 or complex karyotype. Patients will be eligible after progressing through standard therapy with either Azacitidine or
 Decitabine. Patients with a history of 5q minus syndrome may be eligible after progressing through treatment with Lenalidomide.
 -  Acute Myelogenous Leukemia (AML): Histologic subtypes M0,M1,M2,M4,M5,M6,M7 are eligible and must meet one of the three criteria below:
 -  Refractory Disease/Induction Failure: Failure to achieve initial remission after 2 lines of induction therapy.
 -  Relapsed Disease
 -  Newly diagnosed/untreated AML: Patients who are not able to tolerate potentially curative conventional induction chemotherapy due to advanced age, end organ limitations, or performance status limitation will be eligible.
 Additionally, those that refuse conventional induction therapy will be eligible.
 -  Patients must have relatively stable bone marrow function during the week prior to enrollment on the study. White Blood cells (WBC) may be controlled with hydrea. Rapid
 WBC doubling not responsive to control with hydrea would indicate unstable bone marrow function. Ideally WBC should be < 15 X 10^3 /dl at time of study enrollment.
 -  Age >18 years
 -  Karnofsky performance status > or = 60%
 -  Have acceptable organ function as defined within 28 days of enrollment:
 -  Hematologic: hemoglobin > 8 g/dL, and platelets > 20k. (Patients may receive transfusions of either peripheral red blood cells (PRBC) or platelets to achieve these levels)
 -  Renal: creatinine < or = 2.0 mg/dL or creatinine clearance > or = 40 ml/min
 -  Hepatic: ALT, AST < or = 2.5 x upper limit of normal and total bilirubin < or = 1.5 X ULN
 -  Cardiac: left ventricular ejection fraction > 40% (testing required for all patients. For those with prior cardiac history (defined as prior stent or bypass surgery) a stress test within 1 month prior to proceeding with the study will be required. A cardiology consult will be required for those with prior documented cardiac disease or those with any significant EKG/ECHO abnormalities found on screening tests.
 -  Patients must not have received treatment for their myeloid disorder within 2 weeks of beginning the trial. Treatments include the use of chemotherapy, hematopoietic growth factors, and biologic therapy such as monoclonal antibodies. The exception is the use of hydroxyurea for patients with an elevated WBC. Given the relatively slower expected clinical response with the study drugs, patients may continue to receive hydroxyurea through the first cycle of therapy.
 -  Must have recovered from clinically significant toxicities from previous therapies.
 -  Women of child bearing potential must agree to use adequate contraception (diaphragm, birth control pills, injections, intrauterine device [IUD], surgical sterilization, subcutaneous implants, or abstinence, etc.) for the duration of treatment. In addition, women of childbearing potential must have a negative serum pregnancy test b-hCG within 72 hours prior to receiving the first dose of therapy. Sexually active men must agree to use barrier contraceptive for the duration of treatment.
 -  Voluntary written informed consent before performance of any study-related procedure not part of normal medical care, with the understanding that consent may be withdrawn by the subject at any time without prejudice to future medical care.
 -  Treatment History Criteria: Patients who have relapsed after allogeneic stem cell transplantation are eligible.
 "
NCT00818636,ct_inc_531139,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531139,AACT,"
 ***Please note that this study does not offer comprehensive treatment program for alcohol abuse or depression. Please do not contact the study staff if you are seeking psychological treatment. Further, this study is only enrolling people who are clients at Career and
 Recovery Resources, Inc., in Houston.
 Inclusion Criteria:
 -  Enrolled in group therapy program at Career and Recovery Resources, Inc.
 -  Must be at least 18.
 -  Willing and able to participate in the study through the one month follow up.
 -  Able to provide the contact information of at least two people who can generally locate their whereabouts.
 -  Speak English fluently.
 "
NCT00818623,ct_inc_531140,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531140,AACT,"
 Inclusion Criteria:
 -  Written informed consent obtained before any trial related procedures
 -  Male patient with proven prostate cancer in need for endocrine treatment, except for neoadjuvant hormonal therapy
 -  ECOG score to be equal to or above 2
 -  Testosterone level within age-specific normal range
 -  PSA value equal to or above 2 ng/ml
 -  Life expectancy of at least 6 months
 "
NCT00818610,ct_inc_531141,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531141,AACT,"
 Inclusion Criteria:
 -  Age >=18 years
 -  New infiltrate on chest X-ray, unexplained by another disease process
 -  Presence of at least two of the following findings suggestive of pneumonia: fever or hypothermia, new or increasing cough, sputum production, pleuritic chest pain, tachypnea, dyspnea or focal signs on chest examination
 -  Need for hospitalization as defined by the emergency physician in charge of the patient
 "
NCT00818597,ct_inc_531142,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531142,AACT,"
 Inclusion Criteria:
 -  sepsis with at least one organ failure (severe sepsis) or septic shock
 "
NCT00818584,ct_inc_531143,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531143,AACT,"
 Inclusion Criteria:
 -  Informed consent and HIPAA authorization of the infant's parent or legally authorized representative must be obtained prior to study entry
 -  Infant has sufficient venous access to permit study drug dosing
 -  Infant is suspected to have a systemic Candida infection and appropriate cultures (blood with or without urine/CSF) are obtained at the time of study entry
 "
NCT00818571,ct_inc_531144,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531144,AACT,"
 Inclusion Criteria:
 -  Patients with mild (CrCl from 50 to 80 ml/min), moderate (CrCl from 30 to <50 ml/min) and severe (CrCl of <30 ml/min) renal function, preferably type 2 diabetic and matching healthy volunteers CrCl of >80 ml/min
 "
NCT00818558,ct_inc_531145,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531145,AACT,"
 Inclusion Criteria:
 For the patients:
 -  patient having been operated for a strong suspicion or a suspicion of a malignant tumoral hurt corresponding to a primitive carcinoma not in small cell of the lung
 For the control subjects:
 -  Tabagical patients (between 10 and 30 packages years)
 -  unhurt of any malignant or mild tumoral pathology or patients that must benefit from a surgical operation for an extract of a hurt lung parenchymateuse for a not tumoral hurt
 "
NCT00818545,ct_inc_531146,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531146,AACT,"
 Inclusion Criteria:
 -  Phototype I to III
 -  Healthy skin on studied skin areas
 -  Subject having freely given his informed written consent.
 -  Cooperative subject, aware of the necessity to attend all the scheduled appointments during the study.
 -  Negative serology for HIV, hepatitis B and hepatitis C
 -  No past or present history of allergy linked either to one of the ingredients of the study cosmetic cream tested or to xylocane (anesthesia).
 "
NCT00818532,ct_inc_531147,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531147,AACT,"
 Inclusion Criteria:
 -  50 years of age and older
 -  Proof of eye exam within the last 3 months
 -  Corneal astigmatism of <1.0 diopter
 "
NCT00818519,ct_inc_531148,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531148,AACT,"
 Inclusion Criteria:
 -  Women of age 14-45 years
 -  >1 year post-menarche with moderate acne vulgaris who have no known contraindications to combined oral contraceptives
 -  Otherwise healthy, except for the presence of moderate acne
 -  Smokers up to a maximum age of 30 (inclusive) at inclusion
 "
NCT00818506,ct_inc_531149,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531149,AACT,"
 INCLUSION CRITERIA:
 -  Submitted to psychiatric hospital, district psychiatry or private psychiatrist because of major depressive disorder.
 -  Meets the criteria for Major Depressive Disorder, Single Episode as defined in the
 Diagnostic and Statistical Manual, fourth edition (DSM-IV) and the International
 Classification of Diseases (ICD-10).
 -  Age 50-70 years.
 -  Written informed consent.
 -  Caucasian.
 "
NCT00817635,ct_inc_531215,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531215,AACT,"
 Inclusion criteria:
 -  Diagnosis of hypertension with MSSBP  140 mmHg and < 180 mmHg
 -  Stable on a three-drug regimen (including a diuretic) for at least 4 weeks for the treatment of resistant hypertension
 -  Male and female patients 18 to 75 years of age
 "
NCT00818493,ct_inc_531150,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531150,AACT,"
 Inclusion Criteria:
 -  Male of female, at least 18 years of age at time of enrollment.
 -  If female, be at least one year post-menopausal, surgically sterile or practicing effective contraception, be non-lactating, and if of child-bearing potential, have a negative urine pregnancy test result.
 -  Have a body mass index (BMI) of 38 kg/m2 or less.
 -  Have undergone a primary unilateral total knee arthroplasty or total hip arthroplasty performed under standardized general, spinal or epidural anesthesia.
 -  Have developed moderate to severe pain (a score of 2 or more on the 4 point Likert scale or at least 4 on the 11 point NPRS scale within 6 hours of discontinuing PCA on the morning after surgery).
 "
